timestamp,agent_name,agent_id,agent_ip,rule_level,rule_id,rule_description,location,srcip,full_log
2026-04-09T11:20:56.996-0400,syrine-LAN,001,192.168.0.162,7,533,Listened ports status (netstat) changed (new port opened or closed).,netstat listening ports,,"ossec: output: 'netstat listening ports':
tcp6       0      0 ::1:631                 :::*                    LISTEN      -                   
tcp 127.0.0.53:53 0.0.0.0:* 1032/systemd-resolv
tcp 127.0.0.54:53 0.0.0.0:* 1032/systemd-resolv
udp 127.0.0.53:53 0.0.0.0:* 1032/systemd-resolv
udp 127.0.0.54:53 0.0.0.0:* 1032/systemd-resolv
tcp        0      0 127.0.0.1:631           0.0.0.0:*               LISTEN      -                   
udp 0.0.0.0:5353 0.0.0.0:* 1279/avahi-daemon
udp6 :::5353 :::* 1279/avahi-daemon
udp 0.0.0.0:43785 0.0.0.0:* 1279/avahi-daemon
udp6 :::51393 :::* 1279/avahi-daemon"
2026-04-09T11:20:57.802-0400,syrine-LAN,001,192.168.0.162,7,533,Listened ports status (netstat) changed (new port opened or closed).,netstat listening ports,,"ossec: output: 'netstat listening ports':
tcp 127.0.0.53:53 0.0.0.0:* 1032/systemd-resolv
tcp 127.0.0.54:53 0.0.0.0:* 1032/systemd-resolv
udp 127.0.0.53:53 0.0.0.0:* 1032/systemd-resolv
udp 127.0.0.54:53 0.0.0.0:* 1032/systemd-resolv
tcp 127.0.0.1:631 0.0.0.0:* 11527/cupsd
tcp6 ::1:631 :::* 11527/cupsd
udp 0.0.0.0:5353 0.0.0.0:* 1279/avahi-daemon
udp6 :::5353 :::* 1279/avahi-daemon
udp 0.0.0.0:43785 0.0.0.0:* 1279/avahi-daemon
udp6 :::51393 :::* 1279/avahi-daemon"
2026-04-09T11:20:58.027-0400,syrine-LAN,001,192.168.0.162,7,19004,SCA summary: CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Score less than 50% (45),sca,,
2026-04-09T11:21:25.388-0400,syrine-LAN,001,192.168.0.162,9,19011,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure all AppArmor Profiles are in enforce or complain mode.: Status changed from passed to failed,sca,,
2026-04-09T11:21:26.478-0400,AD,013,192.168.0.165,9,60602,Windows application error event.,EventChannel,,
2026-04-09T11:21:51.104-0400,AD,013,192.168.0.165,9,60602,Windows application error event.,EventChannel,,
2026-04-09T11:23:24.466-0400,AD,013,192.168.0.165,7,60776,SessionEnv was unavailable to handle a critical notification event.,EventChannel,,
2026-04-09T11:23:33.213-0400,AD,013,192.168.0.165,9,60602,Windows application error event.,EventChannel,,
2026-04-09T11:23:50.779-0400,AD,013,192.168.0.165,9,60602,Windows application error event.,EventChannel,,
2026-04-09T11:28:33.512-0400,AD,013,192.168.0.165,9,60602,Windows application error event.,EventChannel,,
2026-04-09T11:33:51.287-0400,sousou,008,192.168.0.163,10,2502,syslog: User missed the password more than one time,journald,192.168.0.162,Apr 08 21:46:19 syrine-virtual-machine sshd[13531]: PAM 2 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.0.162  user=root
2026-04-09T11:33:51.342-0400,sousou,008,192.168.0.163,10,2502,syslog: User missed the password more than one time,journald,192.168.0.162,Apr 08 21:47:13 syrine-virtual-machine sshd[13534]: PAM 2 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.0.162  user=root
2026-04-09T11:33:51.352-0400,sousou,008,192.168.0.163,10,5763,sshd: brute force trying to get access to the system. Authentication failed.,journald,192.168.0.162,Apr 08 21:47:27 syrine-virtual-machine sshd[13539]: Failed password for root from 192.168.0.162 port 45236 ssh2
2026-04-09T11:33:51.378-0400,sousou,008,192.168.0.163,10,2502,syslog: User missed the password more than one time,journald,192.168.0.162,Apr 08 21:47:32 syrine-virtual-machine sshd[13539]: PAM 2 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.0.162  user=root
2026-04-09T11:33:51.393-0400,sousou,008,192.168.0.163,10,2502,syslog: User missed the password more than one time,journald,192.168.0.162,Apr 08 21:47:48 syrine-virtual-machine sshd[13541]: PAM 2 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.0.162  user=root
2026-04-09T11:33:51.430-0400,sousou,008,192.168.0.163,10,2502,syslog: User missed the password more than one time,journald,192.168.0.162,Apr 08 21:48:03 syrine-virtual-machine sshd[13545]: PAM 2 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.0.162  user=root
2026-04-09T11:33:51.449-0400,sousou,008,192.168.0.163,10,2502,syslog: User missed the password more than one time,journald,192.168.0.162,Apr 08 21:48:26 syrine-virtual-machine sshd[13547]: PAM 2 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.0.162  user=root
2026-04-09T11:33:51.500-0400,sousou,008,192.168.0.163,10,2502,syslog: User missed the password more than one time,journald,192.168.0.162,Apr 08 21:49:08 syrine-virtual-machine sshd[13549]: PAM 2 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.0.162  user=root
2026-04-09T11:33:51.503-0400,sousou,008,192.168.0.163,10,5551,PAM: Multiple failed logins in a small period of time.,journald,192.168.0.162,Apr 08 21:49:17 syrine-virtual-machine sshd[13564]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.0.162  user=root
2026-04-09T11:33:51.529-0400,sousou,008,192.168.0.163,10,2502,syslog: User missed the password more than one time,journald,192.168.0.162,Apr 08 21:49:32 syrine-virtual-machine sshd[13564]: PAM 2 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.0.162  user=root
2026-04-09T11:35:51.051-0400,AD,013,192.168.0.165,9,19011,CIS Microsoft Windows Server 2022 Benchmark v2.0.0: Ensure 'Enforce password history' is set to '24 or more password(s)'.: Status changed from passed to failed,sca,,
2026-04-09T11:35:51.066-0400,AD,013,192.168.0.165,9,19011,"CIS Microsoft Windows Server 2022 Benchmark v2.0.0: Ensure 'Maximum password age' is set to '365 or fewer days, but not 0'.: Status changed from passed to failed",sca,,
2026-04-09T11:35:51.080-0400,AD,013,192.168.0.165,9,19011,CIS Microsoft Windows Server 2022 Benchmark v2.0.0: Ensure 'Minimum password age' is set to '1 or more day(s)'.: Status changed from passed to failed,sca,,
2026-04-09T11:35:51.160-0400,AD,013,192.168.0.165,9,19011,"CIS Microsoft Windows Server 2022 Benchmark v2.0.0: Ensure 'Account lockout threshold' is set to '5 or fewer invalid logon attempt(s), but not 0'.: Status changed from passed to failed",sca,,
2026-04-09T11:36:04.193-0400,AD,013,192.168.0.165,7,19004,SCA summary: CIS Microsoft Windows Server 2022 Benchmark v2.0.0: Score less than 50% (30),sca,,
2026-04-09T11:36:11.425-0400,AD,013,192.168.0.165,9,60602,Windows application error event.,EventChannel,,
2026-04-09T11:36:49.423-0400,AD,013,192.168.0.165,7,19004,SCA summary: CIS Microsoft Windows Server 2022 Benchmark v2.0.0: Score less than 50% (31),sca,,
2026-04-09T11:36:49.973-0400,AD,013,192.168.0.165,7,60776,SessionEnv was unavailable to handle a critical notification event.,EventChannel,,
2026-04-09T11:37:40.050-0400,AD,013,192.168.0.165,9,60602,Windows application error event.,EventChannel,,
2026-04-09T11:37:48.993-0400,AD,013,192.168.0.165,9,60602,Windows application error event.,EventChannel,,
2026-04-09T11:42:49.206-0400,AD,013,192.168.0.165,9,60602,Windows application error event.,EventChannel,,
2026-04-09T11:43:33.615-0400,syrine-LAN,001,192.168.0.162,7,533,Listened ports status (netstat) changed (new port opened or closed).,netstat listening ports,,"ossec: output: 'netstat listening ports':
tcp 127.0.0.53:53 0.0.0.0:* 1040/systemd-resolv
tcp 127.0.0.54:53 0.0.0.0:* 1040/systemd-resolv
udp 127.0.0.53:53 0.0.0.0:* 1040/systemd-resolv
udp 127.0.0.54:53 0.0.0.0:* 1040/systemd-resolv
tcp 127.0.0.1:631 0.0.0.0:* 1683/cupsd
tcp6 ::1:631 :::* 1683/cupsd
udp 0.0.0.0:5353 0.0.0.0:* 1323/avahi-daemon
udp6 :::5353 :::* 1323/avahi-daemon
udp 0.0.0.0:43103 0.0.0.0:* 1323/avahi-daemon
udp6 :::60708 :::* 1323/avahi-daemon"
2026-04-09T11:44:21.970-0400,syrine-LAN,001,192.168.0.162,7,19004,SCA summary: CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Score less than 50% (45),sca,,
2026-04-09T11:47:49.493-0400,AD,013,192.168.0.165,9,60602,Windows application error event.,EventChannel,,
2026-04-09T11:49:03.694-0400,AD,013,192.168.0.165,15,100100,CRITICAL: User added to Domain Admins group (Privilege Escalation),EventChannel,,"{""win"":{""system"":{""providerName"":""Microsoft-Windows-Security-Auditing"",""providerGuid"":""{54849625-5478-4994-a5ba-3e3b0328c30d}"",""eventID"":""4728"",""version"":""0"",""level"":""0"",""task"":""13826"",""opcode"":""0"",""keywords"":""0x8020000000000000"",""systemTime"":""2026-04-09T09:49:48.5943366Z"",""eventRecordID"":""140545"",""processID"":""744"",""threadID"":""3940"",""channel"":""Security"",""computer"":""WIN-LQ1OBI6GU4T.orange.com"",""severityValue"":""AUDIT_SUCCESS"",""message"":""\""A member was added to a security-enabled global group.\r\n\r\nSubject:\r\n\tSecurity ID:\t\tS-1-5-21-2128272109-502019328-454335178-500\r\n\tAccount Name:\t\tAdministrator\r\n\tAccount Domain:\t\tORANGE\r\n\tLogon ID:\t\t0x32ADBA\r\n\r\nMember:\r\n\tSecurity ID:\t\tS-1-5-21-2128272109-502019328-454335178-1106\r\n\tAccount Name:\t\tCN=ali ayadi,OU=Legal,OU=Direction,OU=Orange,DC=orange,DC=com\r\n\r\nGroup:\r\n\tSecurity ID:\t\tS-1-5-21-2128272109-502019328-454335178-512\r\n\tGroup Name:\t\tDomain Admins\r\n\tGroup Domain:\t\tORANGE\r\n\r\nAdditional Information:\r\n\tPrivileges:\t\t-\""""},""eventdata"":{""memberName"":""CN=ali ayadi,OU=Legal,OU=Direction,OU=Orange,DC=orange,DC=com"",""memberSid"":""S-1-5-21-2128272109-502019328-454335178-1106"",""targetUserName"":""Domain Admins"",""targetDomainName"":""ORANGE"",""targetSid"":""S-1-5-21-2128272109-502019328-454335178-512"",""subjectUserSid"":""S-1-5-21-2128272109-502019328-454335178-500"",""subjectUserName"":""Administrator"",""subjectDomainName"":""ORANGE"",""subjectLogonId"":""0x32adba""}}}"
2026-04-09T11:52:49.677-0400,AD,013,192.168.0.165,9,60602,Windows application error event.,EventChannel,,
2026-04-09T11:57:49.897-0400,AD,013,192.168.0.165,9,60602,Windows application error event.,EventChannel,,
2026-04-09T12:02:50.306-0400,AD,013,192.168.0.165,9,60602,Windows application error event.,EventChannel,,
2026-04-09T12:05:01.104-0400,AD,013,192.168.0.165,12,60159,Domain Admins Group Changed,EventChannel,,
2026-04-09T12:07:50.521-0400,AD,013,192.168.0.165,9,60602,Windows application error event.,EventChannel,,
2026-04-09T12:12:50.710-0400,AD,013,192.168.0.165,9,60602,Windows application error event.,EventChannel,,
2026-04-09T12:17:50.887-0400,AD,013,192.168.0.165,9,60602,Windows application error event.,EventChannel,,
2026-04-09T12:22:51.062-0400,AD,013,192.168.0.165,9,60602,Windows application error event.,EventChannel,,
2026-04-09T12:26:01.197-0400,syrine-LAN,001,192.168.0.162,7,533,Listened ports status (netstat) changed (new port opened or closed).,netstat listening ports,,"ossec: output: 'netstat listening ports':
tcp 127.0.0.53:53 0.0.0.0:* 1074/systemd-resolv
tcp 127.0.0.54:53 0.0.0.0:* 1074/systemd-resolv
udp 127.0.0.53:53 0.0.0.0:* 1074/systemd-resolv
udp 127.0.0.54:53 0.0.0.0:* 1074/systemd-resolv
tcp 127.0.0.1:631 0.0.0.0:* 1491/cupsd
tcp6 ::1:631 :::* 1491/cupsd
udp 0.0.0.0:5353 0.0.0.0:* 1169/avahi-daemon
udp6 :::5353 :::* 1169/avahi-daemon
udp6 :::43493 :::* 1169/avahi-daemon
udp 0.0.0.0:60954 0.0.0.0:* 1169/avahi-daemon"
2026-04-09T12:26:21.846-0400,syrine-LAN,001,192.168.0.162,9,19011,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure all AppArmor Profiles are in enforce or complain mode.: Status changed from passed to failed,sca,,
2026-04-09T12:27:51.300-0400,AD,013,192.168.0.165,9,60602,Windows application error event.,EventChannel,,
2026-04-09T12:32:51.456-0400,AD,013,192.168.0.165,9,60602,Windows application error event.,EventChannel,,
2026-04-09T12:39:44.944-0400,AD,013,192.168.0.165,9,19011,CIS Microsoft Windows Server 2022 Benchmark v2.0.0: Ensure 'Enforce password history' is set to '24 or more password(s)'.: Status changed from passed to failed,sca,,
2026-04-09T12:39:44.959-0400,AD,013,192.168.0.165,9,19011,"CIS Microsoft Windows Server 2022 Benchmark v2.0.0: Ensure 'Maximum password age' is set to '365 or fewer days, but not 0'.: Status changed from passed to failed",sca,,
2026-04-09T12:39:44.974-0400,AD,013,192.168.0.165,9,19011,CIS Microsoft Windows Server 2022 Benchmark v2.0.0: Ensure 'Minimum password age' is set to '1 or more day(s)'.: Status changed from passed to failed,sca,,
2026-04-09T12:39:45.051-0400,AD,013,192.168.0.165,9,19011,"CIS Microsoft Windows Server 2022 Benchmark v2.0.0: Ensure 'Account lockout threshold' is set to '5 or fewer invalid logon attempt(s), but not 0'.: Status changed from passed to failed",sca,,
2026-04-09T12:39:58.055-0400,AD,013,192.168.0.165,7,19004,SCA summary: CIS Microsoft Windows Server 2022 Benchmark v2.0.0: Score less than 50% (30),sca,,
2026-04-09T12:40:11.075-0400,AD,013,192.168.0.165,9,60602,Windows application error event.,EventChannel,,
2026-04-09T12:40:46.220-0400,AD,013,192.168.0.165,7,19004,SCA summary: CIS Microsoft Windows Server 2022 Benchmark v2.0.0: Score less than 50% (31),sca,,
2026-04-09T12:41:14.141-0400,AD,013,192.168.0.165,9,60602,Windows application error event.,EventChannel,,
2026-04-09T12:41:44.146-0400,AD,013,192.168.0.165,9,60602,Windows application error event.,EventChannel,,
2026-04-09T12:46:44.245-0400,AD,013,192.168.0.165,9,60602,Windows application error event.,EventChannel,,
2026-04-09T12:51:44.394-0400,AD,013,192.168.0.165,9,60602,Windows application error event.,EventChannel,,
2026-04-09T12:56:44.554-0400,AD,013,192.168.0.165,9,60602,Windows application error event.,EventChannel,,
2026-04-09T13:01:44.720-0400,AD,013,192.168.0.165,9,60602,Windows application error event.,EventChannel,,
2026-04-09T13:02:04.572-0400,AD,013,192.168.0.165,7,60776,SessionEnv was unavailable to handle a critical notification event.,EventChannel,,
2026-04-09T13:02:59.122-0400,AD,013,192.168.0.165,9,60602,Windows application error event.,EventChannel,,
2026-04-09T13:06:44.920-0400,AD,013,192.168.0.165,9,60602,Windows application error event.,EventChannel,,
2026-04-09T13:06:49.495-0400,sysmon,006,192.168.0.167,8,60110,User account changed,EventChannel,,
2026-04-09T13:06:49.836-0400,sysmon,006,192.168.0.167,8,60110,User account changed,EventChannel,,
2026-04-09T13:11:45.068-0400,AD,013,192.168.0.165,9,60602,Windows application error event.,EventChannel,,
